Time,PH 3Y,5Y CDS,INF,ON RRP,US 1M,VT
October 2018,7.104,98.026,7.1,4.5,2.19,163668.21
November 2018,6.865,93.407,6.3,4.75,2.30,214680.84
December 2018,6.976,88.231,5.4,4.75,2.43,147497.11
January 2019,6.143,70.257,4.4,4.75,2.39,417734.07
February 2019,6.086,61.051,3.8,4.75,2.40,220723.23
March 2019,5.748,58.382,3.4,4.75,2.42,567064.91
April 2019,5.925,50.74,3.2,4.75,2.42,279044.03
May 2019,5.527,62.879,3.2,4.5,2.32,572625.36
June 2019,4.959,48.984,2.7,4.5,2.13,507641.98
July 2019,4.537,45.19,2.2,4.5,1.99,780664.34
August 2019,3.992,48.208,1.4,4.25,2.08,672307.93
September 2019,4.192,48.077,0.5,4,1.86,324476.55
October 2019,3.999,39.836,0.6,4,1.54,388885.71
November 2019,3.941,40.152,1.2,4,1.59,302437.95
December 2019,3.83,33.54,2.4,4,1.43,261630.34
January 2020,4.232,41.524,3.0,4,1.52,543657.45
February 2020,3.956,54.88,2.5,3.75,1.43,727712.83
March 2020,4.54,104.411,2.2,3.25,0.01,486090.89
April 2020,3.159,80.481,1.8,2.75,0.05,440023.62
May 2020,2.607,74.954,1.6,2.75,0.11,629255.31
June 2020,2.262,65.583,2.3,2.25,0.09,713173.84
July 2020,2.19,55.653,2.4,2.25,0.08,486601.61
August 2020,2.284,44.903,2.2,2.25,0.08,565407.47
September 2020,2.37,55.95,2.2,2.25,0.07,419789.75
October 2020,2.325,46.838,2.3,2.25,0.08,331786.58
November 2020,2.19,35.966,3.0,2,0.08,317083.64
December 2020,2.077,35.554,3.3,2,0.03,474792.55
January 2021,2.084,41.843,3.7,2,0.05,632393.95
February 2021,2.4536,40.836,4.2,2,0.02,427418.27
March 2021,2.7887,44.758,4.1,2,0.00,451169.37
April 2021,2.7225,46.042,4.1,2,0.00,386249.95
May 2021,2.5265,46.224,4.1,2,-0.01,449459.62
June 2021,2.3365,43.562,3.7,2,0.04,632531.47
July 2021,2.3322,50.93,3.7,2,0.03,445158.99
August 2021,2.2756,44.393,4.4,2,0.03,456660.20
September 2021,2.4955,51.559,4.2,2,0.04,417319.29
October 2021,2.8815,56.542,4.0,2,0.05,299614.13
November 2021,3.275,68.64,3.7,2,0.10,319825.53
December 2021,3.2512,56.126,3.1,2,0.02,319070.85
January 2022,3.1819,72.727,3.0,2,0.03,381583.82
February 2022,3.7984,95.723,3.0,2,0.05,332089.27
March 2022,4.0332,78.674,4.0,2,0.11,402110.32
April 2022,4.15,110.681,4.9,2,0.30,433534.50
May 2022,4.8171,95.443,5.4,2,0.70,406501.69
June 2022,5.0417,129.583,6.1,2.5,1.0933,338609.13
July 2022,5.1993,104.14,6.4,3.25,2.1811,490104.45
August 2022,4.9832,101.29,6.3,3.75,2.2951,586430.42
September 2022,5.5797,149.629,6.9,4.25,2.7206,431679.99
October 2022,6.3028,126.85,7.7,4.25,3.6501,310967.46
November 2022,6.3219,92.338,8,5,3.973,430869.99
December 2022,6.2464,97.112,8.1,5.5,4.0223,341169.08
