Time,PH 4Y,5Y CDS,INF,ON RRP,US 7Y,VT
October 2018,7.349,98.026,7.1,4.5,3.06,163668.21
November 2018,6.936,93.407,6.3,4.75,2.90,214680.84
December 2018,7.016,88.231,5.4,4.75,2.59,147497.11
January 2019,6.187,70.257,4.4,4.75,2.52,417734.07
February 2019,6.122,61.051,3.8,4.75,2.62,220723.23
March 2019,5.679,58.382,3.4,4.75,2.31,567064.91
April 2019,5.898,50.74,3.2,4.75,2.39,279044.03
May 2019,5.532,62.879,3.2,4.5,2.02,572625.36
June 2019,4.975,48.984,2.7,4.5,1.88,507641.98
July 2019,4.615,45.19,2.2,4.5,1.91,780664.34
August 2019,4.083,48.208,1.4,4.25,1.45,672307.93
September 2019,4.34,48.077,0.5,4,1.61,324476.55
October 2019,4.126,39.836,0.6,4,1.60,388885.71
November 2019,4.099,40.152,1.2,4,1.73,302437.95
December 2019,3.94,33.54,2.4,4,1.83,261630.34
January 2020,4.328,41.524,3.0,4,1.42,543657.45
February 2020,4.037,54.88,2.5,3.75,1.06,727712.83
March 2020,4.603,104.411,2.2,3.25,0.54,486090.89
April 2020,3.236,80.481,1.8,2.75,0.53,440023.62
May 2020,2.674,74.954,1.6,2.75,0.50,629255.31
June 2020,2.346,65.583,2.3,2.25,0.49,713173.84
July 2020,2.319,55.653,2.4,2.25,0.38,486601.61
August 2020,2.426,44.903,2.2,2.25,0.49,565407.47
September 2020,2.573,55.95,2.2,2.25,0.47,419789.75
October 2020,2.557,46.838,2.3,2.25,0.64,331786.58
November 2020,2.443,35.966,3.0,2,0.61,317083.64
December 2020,2.299,35.554,3.3,2,0.64,474792.55
January 2021,2.354,41.843,3.7,2,0.75,632393.95
February 2021,2.7532,40.836,4.2,2,1.12,427418.27
March 2021,3.087,44.758,4.1,2,1.42,451169.37
April 2021,2.9987,46.042,4.1,2,1.31,386249.95
May 2021,2.869,46.224,4.1,2,1.26,449459.62
June 2021,2.6901,43.562,3.7,2,1.24,632531.47
July 2021,2.6703,50.93,3.7,2,1.00,445158.99
August 2021,2.6031,44.393,4.4,2,1.09,456660.20
September 2021,2.8694,51.559,4.2,2,1.29,417319.29
October 2021,3.3554,56.542,4.0,2,1.45,299614.13
November 2021,3.7082,68.64,3.7,2,1.37,319825.53
December 2021,3.769,56.126,3.1,2,1.44,319070.85
January 2022,3.7848,72.727,3.0,2,1.74,381583.82
February 2022,4.4107,95.723,3.0,2,1.81,332089.27
March 2022,4.6815,78.674,4.0,2,2.43,402110.32
April 2022,4.776,110.681,4.9,2,2.98,433534.50
May 2022,5.355,95.443,5.4,2,2.87,406501.69
June 2022,5.5476,129.583,6.1,2.5,3.0751,338609.13
July 2022,5.4902,104.14,6.4,3.25,2.6891,490104.45
August 2022,5.2928,101.29,6.3,3.75,3.314,586430.42
September 2022,5.9434,149.629,6.9,4.25,3.9886,431679.99
October 2022,6.5533,126.85,7.7,4.25,4.1479,310967.46
November 2022,6.5183,92.338,8,5,3.6835,430869.99
December 2022,6.3755,97.112,8.1,5.5,3.973,341169.08
